Empty,,,,,,,,,,Ali Aied Ibraheem
https://scholar.google.com/citations?user=Z4wqgw4AAAAJ&hl=en,,,,,,,,,,Nageh Mohammad Al Theyabat
https://scholar.google.com/citations?user=N7vchcYAAAAJ&hl=en,,,,,,,,,,Fathee Abu Murad
"https://scholar.google.com/citations?view_op=list_works&hl=ar&user=UBX9
CwwAAAAJ",,,,,,,,,,Qasem Mohammad Ghunemat
https://scholar.google.com/citations?hl=ar&pli=1&user=r1vNAPAAAAAJ,,,,,,,,,,Ibraheem Ahmad Alsheyab
https://scholar.google.com/citations?user=fNRb4gkAAAAJ&hl=en,,,,,,,,,,Ali Ibraheem Al Bashayra
https://scholar.google.com/citations?user=r76rVF0AAAAJ&hl=en,,,,,,,,,,Sanaa Ahmad Ababneh
Empty,,,,,,,,,,Mohammad Ali Maqableh
https://scholar.google.com/citations?user=vLOxRNQAAAAJ&hl=ar,,,,,,,,,,Ali Taleb Al Shbool
Empty,,,,,,,,,,Khaled Mahmoud Al Mazeed
"https://scholar.google.com/citations?hl=ar&user=XzPFtYIAAAAJ&view_op=l
ist_works",,,,,,,,,,Radwan Mohammad Ezuli
https://scholar.google.com/citations?user=cw0nMg8AAAAJ&hl=en,,,,,,,,,,Hanan Ahmad Hatamleh
https://scholar.google.com/citations?user=R6vLf_gAAAAJ&hl=ar,,,,,,,,,,Nawaf Abd Alkareem Garaybe
Empty,,,,,,,,,,Reaad Mefleh Khlefat
Empty,,,,,,,,,,Monther Mohammad Battah 
"https://scholar.google.com/citations?hl=ar&user=XzPFtYIAAAAJ&view_op=l
ist_works",,,,,,,,,,Lenda Hamed Malkawi
https://scholar.google.com/citations?hl=ar&user=vxRKYHgAAAAJ,,,,,,,,,,Omar Ahmad Al Hazaime 
https://scholar.google.com/citations?user=GUwCskkAAAAJ&hl=en,,,,,,,,,,Hussein Ibraheem Matalqa
Empty,,,,,,,,,,Mefleh Hassan Alahmad
https://scholar.google.com/citations?user=t3xJCAcAAAAJ&hl=ar,,,,,,,,,,Adam Yusef Al Jawarneh
