https://scholar.google.com/citations?user=Go6QcNIAAAAJ&hl=en,,,,,,,,,,Bashar Yaqoub Ammari
https://scholar.google.com/citations?user=63FXqxgAAAAJ&hl=en,,,,,,,,,,Kamel Khaleef Al zboun
https://scholar.google.com/citations?hl=en&user=pDqlYwQAAAAJ&view_op=list_works,,,,,,,,,,Jamal Ahmad Al Radaideh
Empty,,,,,,,,,,Reaad Mustafa Al At
https://scholar.google.com/citations?user=Wry6SDUAAAAJ&hl=ar&oi=ao,,,,,,,,,,Jehad Yusuf Alzoubi
https://scholar.google.com/citations?user=wksJejkAAAAJ&hl=en,,,,,,,,,,Mamoon Saleh Al Jadayeh
https://scholar.google.com/citations?user=5fD1y8QAAAAJ&hl=ar,,,,,,,,,,Lala Ahmad Al Samera'e
https://scholar.google.com/citations?user=vB5OidQAAAAJ&hl=ar,,,,,,,,,,Zaidun Turki Abu Salem
Empty,,,,,,,,,,Salam Abdullah Al Ajloni
https://scholar.google.com/citations?user=5ektUeMAAAAJ&hl=en,,,,,,,,,,Bish Ishaq Matalqa
